"No.","Time","Source","Destination","Protocol","Length","Info"
"20996","62.177953","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"22218","63.053499","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"22614","64.155486","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"22935","65.034696","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"23289","66.110626","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"23629","67.071474","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"24087","68.208778","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"24537","69.067721","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"25628","70.056858","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"26663","71.054102","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"27587","72.036232","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"27598","73.031044","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"27635","74.076381","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"27724","75.054886","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"28877","76.098466","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"30896","78.598375","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"30961","79.101547","10.113.133.19","10.113.133.11","MQTT","102","Ping Request, Publish Message [iot/sensor]"
"30964","79.101935","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"31052","79.486716","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"31221","80.054868","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"31415","81.144880","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"31703","82.088099","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"32132","83.172661","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"32714","84.089443","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"33694","85.060153","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"34853","86.059591","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"37921","88.686032","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"38182","88.920528","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"38473","89.106654","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"39498","90.148928","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"39698","91.232298","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"39936","92.061229","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"40089","93.076410","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"40336","94.410671","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"40645","95.078595","10.113.133.19","10.113.133.11","MQTT","56","Ping Request"
"40647","95.078882","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"40721","95.150912","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"41508","96.091497","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"42310","97.105689","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"43796","98.160676","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"44965","99.138784","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"46364","100.114673","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"47820","101.195508","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"49130","102.214087","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"50220","103.114499","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"51497","104.229903","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"52820","105.133693","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"53854","106.119243","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"54842","107.096079","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"55843","108.186967","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"56172","109.395861","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"56377","110.342268","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"56652","111.361037","10.113.133.19","10.113.133.11","MQTT","56","Ping Request"
"56654","111.361598","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"56707","111.734143","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"56907","112.182005","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"57156","113.255668","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"58217","114.122817","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"59302","115.102221","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"59324","116.309345","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"59333","117.136471","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"59347","118.128451","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"59360","119.188554","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"59380","120.118243","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"60701","122.673876","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"60808","122.932860","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"61001","124.521902","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"61106","124.838411","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"61284","125.340025","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"61641","126.416891","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"61885","127.159839","10.113.133.19","10.113.133.11","MQTT","56","Ping Request"
"61886","127.160034","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"61922","127.189832","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"62690","128.258322","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"63562","129.155176","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"64620","130.155485","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"65871","131.172727","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"67077","132.133689","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
